system:time_start,total_precipitation_sum
"Jan 1, 2002",0.052
"Feb 1, 2002",0.046
"Mar 1, 2002",0.098
"Apr 1, 2002",0.111
"May 1, 2002",0.134
"Jan 1, 2003",0.029
"Feb 1, 2003",0.071
"Mar 1, 2003",0.057
"Apr 1, 2003",0.091
"May 1, 2003",0.143
"Jan 1, 2004",0.06
"Feb 1, 2004",0.046
"Mar 1, 2004",0.097
"Apr 1, 2004",0.076
"May 1, 2004",0.166
"Jan 1, 2005",0.1
"Feb 1, 2005",0.055
"Mar 1, 2005",0.056
"Apr 1, 2005",0.088
"May 1, 2005",0.069
"Jan 1, 2006",0.072
"Feb 1, 2006",0.036
"Mar 1, 2006",0.084
"Apr 1, 2006",0.104
"May 1, 2006",0.096
"Jan 1, 2007",0.065
"Feb 1, 2007",0.051
"Mar 1, 2007",0.079
"Apr 1, 2007",0.087
"May 1, 2007",0.072
"Jan 1, 2008",0.053
"Feb 1, 2008",0.082
"Mar 1, 2008",0.106
"Apr 1, 2008",0.117
"May 1, 2008",0.118
"Jan 1, 2009",0.048
"Feb 1, 2009",0.053
"Mar 1, 2009",0.089
"Apr 1, 2009",0.11
"May 1, 2009",0.115
"Jan 1, 2010",0.052
"Feb 1, 2010",0.045
"Mar 1, 2010",0.061
"Apr 1, 2010",0.075
"May 1, 2010",0.124
"Jan 1, 2011",0.041
"Feb 1, 2011",0.075
"Mar 1, 2011",0.082
"Apr 1, 2011",0.168
"May 1, 2011",0.129
"Jan 1, 2012",0.056
"Feb 1, 2012",0.053
"Mar 1, 2012",0.078
"Apr 1, 2012",0.074
"May 1, 2012",0.09
"Jan 1, 2013",0.083
"Feb 1, 2013",0.06
"Mar 1, 2013",0.076
"Apr 1, 2013",0.134
"May 1, 2013",0.134
"Jan 1, 2014",0.051
"Feb 1, 2014",0.061
"Mar 1, 2014",0.056
"Apr 1, 2014",0.13
"May 1, 2014",0.093
"Jan 1, 2015",0.045
"Feb 1, 2015",0.045
"Mar 1, 2015",0.071
"Apr 1, 2015",0.105
"May 1, 2015",0.117
"Jan 1, 2016",0.041
"Feb 1, 2016",0.063
"Mar 1, 2016",0.104
"Apr 1, 2016",0.091
"May 1, 2016",0.103
"Jan 1, 2017",0.079
"Feb 1, 2017",0.046
"Mar 1, 2017",0.094
"Apr 1, 2017",0.142
"May 1, 2017",0.136
"Jan 1, 2018",0.051
"Feb 1, 2018",0.117
"Mar 1, 2018",0.089
"Apr 1, 2018",0.09
"May 1, 2018",0.115
"Jan 1, 2019",0.076
"Feb 1, 2019",0.114
"Mar 1, 2019",0.078
"Apr 1, 2019",0.124
"May 1, 2019",0.162
"Jan 1, 2020",0.09
"Feb 1, 2020",0.07
"Mar 1, 2020",0.108
"Apr 1, 2020",0.096
"May 1, 2020",0.121
"Jan 1, 2021",0.059
"Feb 1, 2021",0.058
"Mar 1, 2021",0.096
"Apr 1, 2021",0.084
"May 1, 2021",0.1
"Jan 1, 2022",0.054
"Feb 1, 2022",0.084
"Mar 1, 2022",0.097
"Apr 1, 2022",0.117
"May 1, 2022",0.131
"Jan 1, 2023",0.082
"Feb 1, 2023",0.073
"Mar 1, 2023",0.102
"Apr 1, 2023",0.09
"May 1, 2023",0.067
